Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2019-01-01,301,1900-01-01 01:08:00,Tuesday,Queen/Braodview,Held By,6.0,13.0,E/B,4193.0
2019-01-01,511,1900-01-01 01:30:00,Tuesday,Bathurst/College,Investigation,5.0,10.0,N/B,1038.0
2019-01-01,306,1900-01-01 01:40:00,Tuesday,Dundas West stn.,Mechanical,8.0,16.0,W/B,4146.0
2019-01-01,505,1900-01-01 03:10:00,Tuesday,Lansdowne and Dundas,Mechanical,6.0,12.0,E/B,8416.0
2019-01-01,310,1900-01-01 03:55:00,Tuesday,Spadina and Lakshore,Held By,20.0,30.0,N/B,4465.0
2019-01-01,505,1900-01-01 03:58:00,Tuesday,Dundas and Sackville,Mechanical,20.0,40.0,W/B,9200.0
2019-01-01,505,1900-01-01 05:58:00,Tuesday,Dundas and Parliament,Utilized Off Route,6.0,12.0,W/B,8934.0
2019-01-01,504,1900-01-01 08:25:00,Tuesday,Leslie Barns,Late Leaving Garage,2.0,1.0,W/B,4449.0
2019-01-01,510,1900-01-01 08:43:00,Tuesday,Leslie Barns,Late Leaving Garage,4.0,11.0,W/B,4446.0
2019-01-01,504,1900-01-01 08:50:00,Tuesday,Leslie Barns,Late Leaving Garage,3.0,10.0,W/B,4500.0
2019-01-01,504,1900-01-01 08:53:00,Tuesday,Leslie Barns,Late Leaving Garage,5.0,12.0,W/B,4405.0
2019-01-01,509,1900-01-01 08:53:00,Tuesday,CNE loop,Mechanical,18.0,26.0,W/B,4507.0
2019-01-01,510,1900-01-01 08:55:00,Tuesday,Leslie Barns,Late Leaving Garage,6.0,14.0,W/B,4407.0
2019-01-01,510,1900-01-01 08:57:00,Tuesday,Leslie Barns,Late Leaving Garage,8.0,16.0,W/B,4412.0
2019-01-01,504,1900-01-01 08:59:00,Tuesday,Leslie Barns,Late Leaving Garage,8.0,15.0,W/B,4474.0
2019-01-01,501,1900-01-01 09:01:00,Tuesday,Leslie Barns,Late Leaving Garage,10.0,14.0,W/B,4480.0
2019-01-01,510,1900-01-01 09:01:00,Tuesday,Leslie Barns,Late Leaving Garage,8.0,15.0,W/B,4435.0
2019-01-01,501,1900-01-01 09:03:00,Tuesday,Leslie Barns,Late Leaving Garage,7.0,14.0,W/B,4462.0
2019-01-01,510,1900-01-01 09:06:00,Tuesday,Leslie Barns,Late Leaving Garage,6.0,13.0,W/B,4421.0
2019-01-01,509,1900-01-01 09:15:00,Tuesday,Leslie Barns,Late Leaving Garage,2.0,7.0,W/B,4451.0
2019-01-01,504,1900-01-01 10:47:00,Tuesday,King and Dufferin,Mechanical,8.0,16.0,E/B,4438.0
2019-01-01,512,1900-01-01 11:20:00,Tuesday,St. Clayr and Vaughan,Investigation,6.0,12.0,E/B,4490.0
2019-01-01,501,1900-01-01 12:05:00,Tuesday,Queen and Connaught,Mechanical,22.0,4.0,W/B,4075.0
2019-01-01,501,1900-01-01 13:37:00,Tuesday,QUEEN/DOVERCOURT,Mechanical,4.0,8.0,E/B,4489.0
2019-01-01,501,1900-01-01 14:24:00,Tuesday,QUEEN/JONES,Mechanical,4.0,8.0,E/B,4495.0
2019-01-01,512,1900-01-01 16:41:00,Tuesday,St. Clair and Dufferin,Held By,492.0,500.0,E/B,4509.0
2019-01-01,501,1900-01-01 17:17:00,Tuesday,QUEEN/JAMESON,Mechanical,4.0,8.0,E/B,4077.0
2019-01-01,506,1900-01-01 18:06:00,Tuesday,River and Gerrard,Held By,54.0,62.0,E/B,4029.0
2019-01-01,511,1900-01-01 18:41:00,Tuesday,King and Bathurst,Investigation,7.0,14.0,S/B,1081.0
2019-01-01,505,1900-01-01 20:20:00,Tuesday,broadview station,Mechanical,8.0,16.0,W/B,8466.0
2019-01-01,511,1900-01-01 22:24:00,Tuesday,Exhibition loop East,Investigation,8.0,16.0,S/B,1325.0
2019-01-02,501,1900-01-01 04:27:00,Wednesday,Queen and Woodfield,Mechanical,9.0,20.0,E/B,4144.0
2019-01-02,501,1900-01-01 04:32:00,Wednesday,Queen and Woodfield,Held By,5.0,15.0,E/B,4089.0
2019-01-02,501,1900-01-01 04:55:00,Wednesday,Jarvis / Quenn,Mechanical,8.0,16.0,W/B,4135.0
2019-01-02,501,1900-01-01 04:59:00,Wednesday,Queen and Woodfield,Mechanical,11.0,20.0,W/B,4187.0
