Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2019-01-02,501,1900-01-01 05:08:00,Wednesday,Queen and Woodfield,Mechanical,3.0,13.0,W/B,4050.0
2019-01-02,501,1900-01-01 05:45:00,Wednesday,Russell Yard,Late Leaving Garage,4.0,9.0,W/B,4091.0
2019-01-02,501,1900-01-01 05:49:00,Wednesday,Queen and Woodfield,Mechanical,15.0,25.0,W/B,4073.0
2019-01-02,504,1900-01-01 05:51:00,Wednesday,Leslie Barns,Late Leaving Garage,10.0,14.0,W/B,4435.0
2019-01-02,501,1900-01-01 06:07:00,Wednesday,Queen and Woodfield,Mechanical,25.0,20.0,E/B,4074.0
2019-01-02,502,1900-01-01 06:10:00,Wednesday,Birchmount Division,Mechanical,16.0,26.0,B/W,8480.0
2019-01-02,502,1900-01-01 06:32:00,Wednesday,Birchmount,Mechanical,14.0,21.0,B/W,9221.0
2019-01-02,502,1900-01-01 07:04:00,Wednesday,Marlvern / Kingston,Mechanical,14.0,21.0,B/W,8561.0
2019-01-02,501,1900-01-01 07:10:00,Wednesday,Leslie Barns,Late Leaving Garage,16.0,24.0,W/B,4503.0
2019-01-02,501,1900-01-01 07:20:00,Wednesday,Leslie Barns,Late Leaving Garage,13.0,21.0,W/B,4425.0
2019-01-02,506,1900-01-01 07:33:00,Wednesday,Sterling and Dundas,Mechanical,12.0,18.0,W/B,4169.0
2019-01-02,504,1900-01-01 07:35:00,Wednesday,Leslie Barnes,Late Leaving Garage,7.0,10.0,W/B,4428.0
2019-01-02,504,1900-01-01 07:36:00,Wednesday,Leslie Barnes,Late Leaving Garage,4.0,10.0,W/B,4445.0
2019-01-02,505,1900-01-01 11:54:00,Wednesday,Dundas West (Edna),Mechanical,6.0,12.0,26,1276.0
2019-01-02,506,1900-01-01 12:21:00,Wednesday,Main Station,Mechanical,6.0,12.0,W/B,4065.0
2019-01-02,501,1900-01-01 13:28:00,Wednesday,Queen and Connaught,Mechanical,5.0,10.0,E/B,4077.0
2019-01-02,1,1900-01-01 15:26:00,Wednesday,Queen and Logan,Investigation,23.0,28.0,W/B,4204.0
2019-01-02,503,1900-01-01 15:38:00,Wednesday,Queen & Broadview,Mechanical,12.0,24.0,W/B,4074.0
2019-01-02,504,1900-01-01 19:01:00,Wednesday,Dundas West Station,General Delay,6.0,12.0,W/B,4477.0
2019-01-02,501,1900-01-01 19:18:00,Wednesday,Humber Loop,Investigation,5.0,10.0,E/B,4020.0
2019-01-02,501,1900-01-01 20:03:00,Wednesday,Queen and Bathurst,Held By,14.0,19.0,W/B,4103.0
2019-01-02,506,1900-01-01 23:36:00,Wednesday,Main street Station,Mechanical,8.0,16.0,E/B,4032.0
2019-01-03,506,1900-01-01 00:06:00,Thursday,Rusholme and College,Investigation,10.0,20.0,E/B,4178.0
2019-01-03,511,1900-01-01 00:46:00,Thursday,Bathurst Station (on Street),Mechanical,5.0,10.0,N/B,1091.0
2019-01-03,501,1900-01-01 04:53:00,Thursday,Queen and Connaught,Mechanical,5.0,15.0,W/B,4068.0
2019-01-03,512,1900-01-01 05:10:00,Thursday,Bathurst and St Clair,Mechanical,8.0,14.0,W/B,4494.0
2019-01-03,509,1900-01-01 05:41:00,Thursday,Leslie Barns,Late Leaving Garage,1.0,1.0,W/B,4517.0
2019-01-03,504,1900-01-01 05:42:00,Thursday,Leslie Barns,Late Leaving Garage,1.0,1.0,W/B,4477.0
2019-01-03,504,1900-01-01 05:42:00,Thursday,Leslie Barns,Late Leaving Garage,1.0,1.0,W/B,4436.0
2019-01-03,504,1900-01-01 05:44:00,Thursday,Leslie Barns,Late Leaving Garage,1.0,1.0,W/B,4423.0
2019-01-03,501,1900-01-01 05:56:00,Thursday,Russell Yard,Late Leaving Garage,3.0,6.0,W/B,4150.0
2019-01-03,506,1900-01-01 06:17:00,Thursday,Russell Yard,Mechanical,12.0,24.0,W/B,4123.0
2019-01-03,501,1900-01-01 06:24:00,Thursday,Spadina / Queen,Mechanical,6.0,12.0,E/B,4156.0
2019-01-03,504,1900-01-01 06:26:00,Thursday,Dufferin Loop,Investigation,0.0,0.0,E/B,4468.0
2019-01-03,512,1900-01-01 06:47:00,Thursday,Bathurst & St Clair,Utilized Off Route,3.0,5.0,E/B,4437.0
2019-01-03,510,1900-01-01 06:59:00,Thursday,Leslie Barns,Late Leaving Garage,1.0,1.0,W/B,4497.0
2019-01-03,504,1900-01-01 07:00:00,Thursday,Leslie Barns,Late Leaving Garage,1.0,1.0,W/B,4498.0
2019-01-03,510,1900-01-01 07:10:00,Thursday,Leslie Barns,Late Leaving Garage,1.0,1.0,W/B,4461.0
2019-01-03,509,1900-01-01 07:12:00,Thursday,Leslie Barns,Late Leaving Garage,8.0,16.0,W/B,4474.0
2019-01-03,510,1900-01-01 07:20:00,Thursday,Leslie Barns,Late Leaving Garage,4.0,8.0,W/B,4473.0
2019-01-03,504,1900-01-01 07:24:00,Thursday,Leslie Barns,Late Leaving Garage,4.0,11.0,W/B,4444.0
2019-01-03,504,1900-01-01 07:30:00,Thursday,Leslie Barns,Mechanical,4.0,8.0,W/B,4508.0
2019-01-03,504,1900-01-01 07:36:00,Thursday,Leslie Barns,Late Leaving Garage,1.0,1.0,W/B,4450.0
2019-01-03,504,1900-01-01 10:52:00,Thursday,Dufferin Loop,Investigation,0.0,0.0,E/B,4452.0
2019-01-03,501,1900-01-01 10:57:00,Thursday,Neville Loop,Mechanical,6.0,12.0,W/B,4150.0
2019-01-03,512,1900-01-01 11:02:00,Thursday,St Clair West Stn,Held By,8.0,13.0,W/B,4500.0
2019-01-03,512,1900-01-01 11:02:00,Thursday,St Clair west stn,Held By,8.0,13.0,E/B,4511.0
2019-01-03,501,1900-01-01 12:46:00,Thursday,Queen and Church,Mechanical,5.0,10.0,E/B,4021.0
2019-01-03,501,1900-01-01 14:23:00,Thursday,Queen and Ossington,Investigation,8.0,13.0,W/B,4432.0
2019-01-03,505,1900-01-01 14:55:00,Thursday,Dundas West Station,Emergency Services,4.0,8.0,W/B,8474.0
2019-01-03,512,1900-01-01 15:53:00,Thursday,St. Clair West & Alberta,Investigation,102.0,106.0,E/B,4460.0
2019-01-03,506,1900-01-01 16:26:00,Thursday,Main station,Mechanical,6.0,12.0,W/B,4073.0
2019-01-03,505,1900-01-01 17:26:00,Thursday,Dundas West Station,Mechanical,4.0,8.0,W/B,1389.0
2019-01-03,501,1900-01-01 17:53:00,Thursday,Neville Loop,Mechanical,34.0,39.0,W/B,4186.0
2019-01-03,501,1900-01-01 17:57:00,Thursday,Neville Loop,Utilized Off Route,34.0,39.0,W/B,4040.0
2019-01-03,503,1900-01-01 18:19:00,Thursday,Glen Manor and Kingston road,Held By,65.0,79.0,E/B,4143.0
2019-01-03,505,1900-01-01 19:29:00,Thursday,Sumach and Dundas,Investigation,4.0,8.0,W/B,9218.0
2019-01-03,504,1900-01-01 21:09:00,Thursday,Broadview station,Mechanical,8.0,16.0,W/B,4464.0
2019-01-03,504,1900-01-01 22:45:00,Thursday,Broadview,Mechanical,10.0,20.0,W/B,4462.0
2019-01-04,301,1900-01-01 03:32:00,Friday,Humber Loop,Mechanical,1.0,1.0,E/B,4150.0
2019-01-04,304,1900-01-01 04:53:00,Friday,Leslie & Queen,Mechanical,0.0,0.0,W/B,4515.0
2019-01-04,310,1900-01-01 04:58:00,Friday,Spadina Station,Mechanical,10.0,20.0,S/B,4424.0
2019-01-04,512,1900-01-01 05:25:00,Friday,Leslie barns,Late Leaving Garage,1.0,1.0,W/B,4416.0
2019-01-04,510,1900-01-01 05:39:00,Friday,King Street,Mechanical,7.0,14.0,S/B,4410.0
2019-01-04,501,1900-01-01 05:41:00,Friday,Russell Yard,Late Leaving Garage,6.0,10.0,W/B,4057.0
2019-01-04,504,1900-01-01 05:43:00,Friday,Leslie Barns,Late Leaving Garage,1.0,1.0,W/B,4462.0
2019-01-04,501,1900-01-01 05:46:00,Friday,Russell Yard,Late Leaving Garage,2.0,6.0,W/B,4032.0
2019-01-04,501,1900-01-01 05:50:00,Friday,Russell Yard,Mechanical,4.0,8.0,W/B,4011.0
2019-01-04,511,1900-01-01 06:06:00,Friday,Mount Dennis Garage,Mechanical,6.0,12.0,S/B,1007.0
2019-01-04,503,1900-01-01 06:12:00,Friday,Russell Yard,Late Leaving Garage,0.0,0.0,W/B,4199.0
2019-01-04,512,1900-01-01 06:13:00,Friday,Leslie Barns,Held By,1.0,1.0,W/B,4421.0
2019-01-04,509,1900-01-01 06:26:00,Friday,Fleet Loop,Mechanical,8.0,16.0,E/B,4458.0
2019-01-04,510,1900-01-01 06:35:00,Friday,QQ,Mechanical,5.0,10.0,W/B,4449.0
2019-01-04,509,1900-01-01 07:09:00,Friday,Leslie Barns,Late Leaving Garage,6.0,13.0,W/B,4487.0
2019-01-04,504,1900-01-01 07:15:00,Friday,King & Bathurst,Utilized Off Route,6.0,11.0,W/B,4513.0
2019-01-04,501,1900-01-01 07:55:00,Friday,Roncevalles / Queen,Mechanical,6.0,12.0,W/B,4204.0
2019-01-04,505,1900-01-01 08:16:00,Friday,Roncesvalles and Dundas,Mechanical,4.0,8.0,W/B,8545.0
2019-01-04,505,1900-01-01 08:54:00,Friday,University Ave,Investigation,4.0,8.0,E/B,8175.0
2019-01-04,506,1900-01-01 11:48:00,Friday,Jarvis and Carlton,Held By,18.0,24.0,W/B,4144.0
2019-01-04,501,1900-01-01 14:09:00,Friday,Humber Loop,Mechanical,5.0,10.0,E/B,4001.0
2019-01-04,501,1900-01-01 15:11:00,Friday,Queen and Peter,Held By,8.0,13.0,W/B,4420.0
2019-01-04,511,1900-01-01 16:00:00,Friday,CNE,Mechanical,5.0,10.0,N/B,1144.0
2019-01-04,511,1900-01-01 16:05:00,Friday,Spadina and College,Mechanical,2.0,7.0,W/B,4156.0
2019-01-04,504,1900-01-01 16:26:00,Friday,King/ Atlantic,Mechanical,0.0,0.0,E/B,4448.0
2019-01-04,511,1900-01-01 16:28:00,Friday,Fleet and Grand Magazine st.,Investigation,5.0,10.0,W/B,1354.0
2019-01-04,505,1900-01-01 16:29:00,Friday,Danforth and Broadview,Investigation,4.0,8.0,S/B,9226.0
2019-01-04,504,1900-01-01 16:29:00,Friday,Broadview and Danforth,Held By,9.0,15.0,W/B,4493.0
2019-01-04,501,1900-01-01 16:50:00,Friday,Queen. Leslie to McCaul,General Delay,10.0,15.0,W/B,4501.0
2019-01-04,506,1900-01-01 18:02:00,Friday,H.Park Loop,Emergency Services,25.0,30.0,E/B,4171.0
2019-01-04,504,1900-01-01 19:29:00,Friday,Dundas West Station,Mechanical,0.0,0.0,E/B,4512.0
2019-01-04,501,1900-01-01 20:10:00,Friday,Humberloop,Emergency Services,4.0,8.0,E/B,4057.0
2019-01-04,504,1900-01-01 20:20:00,Friday,King and Queen West,Held By,45.0,50.0,W/B,4459.0
2019-01-04,512,1900-01-01 20:52:00,Friday,Leslie and Queen,Emergency Services,4.0,8.0,E/B,4517.0
2019-01-04,501,1900-01-01 21:10:00,Friday,Queen and parliament,Mechanical,4.0,8.0,W/B,4104.0
2019-01-04,510,1900-01-01 21:55:00,Friday,Spadina Station,Emergency Services,14.0,22.0,N/B,4424.0
2019-01-04,506,1900-01-01 23:29:00,Friday,Bathurst and College,Held By,14.0,20.0,E/B,4021.0
2019-01-04,501,1900-01-01 23:36:00,Friday,lakeshore and 15th street,Mechanical,15.0,21.0,W/B,4141.0
2019-01-05,506,1900-01-01 00:02:00,Saturday,College and Dufferin,Held By,15.0,22.0,W/B,4080.0
2019-01-05,301,1900-01-01 03:58:00,Saturday,Lakeshore and 5th,Held By,12.0,20.0,E/B,4160.0
2019-01-05,505,1900-01-01 05:15:00,Saturday,WILSON GARAGE,Mechanical,10.0,20.0,S/B,1216.0
2019-01-05,501,1900-01-01 07:06:00,Saturday,QUEEN/BROADVIEW,Mechanical,6.0,12.0,W/B,4148.0
2019-01-05,501,1900-01-01 08:02:00,Saturday,HUMBER LOOP,Mechanical,6.0,12.0,E/B,4171.0
2019-01-05,504,1900-01-01 08:11:00,Saturday,Broadview Stn,Mechanical,9.0,18.0,W/B,4465.0
2019-01-05,505,1900-01-01 09:00:00,Saturday,Broadview Stn,Mechanical,6.0,12.0,W/B,1222.0
2019-01-05,512,1900-01-01 09:28:00,Saturday,Vaughan Rd,Mechanical,5.0,10.0,E/B,4439.0
2019-01-05,510,1900-01-01 09:39:00,Saturday,College,Utilized Off Route,4.0,8.0,S/B,4512.0
2019-01-05,501,1900-01-01 09:59:00,Saturday,QUEEN/EONCESVALLES,Mechanical,5.0,10.0,E/B,4150.0
2019-01-05,501,1900-01-01 10:46:00,Saturday,Queen/Bay,General Delay,5.0,10.0,W/B,4204.0
2019-01-05,501,1900-01-01 10:55:00,Saturday,Queen/ Ossington,Mechanical,,,W/B,4483.0
2019-01-05,506,1900-01-01 12:27:00,Saturday,Coxwell Gerrard,Investigation,6.0,12.0,E/B,4087.0
2019-01-05,501,1900-01-01 12:55:00,Saturday,Queen and Dovercourt,Mechanical,5.0,10.0,W/B,4022.0
2019-01-05,505,1900-01-01 13:20:00,Saturday,Broadview Stn,Mechanical,4.0,8.0,S/B,1344.0
2019-01-05,504,1900-01-01 13:25:00,Saturday,Dufferin south of King,Investigation,25.0,31.0,S/B,4458.0
2019-01-05,501,1900-01-01 13:42:00,Saturday,Queen and Brookmount,Held By,13.0,18.0,E/B,4403.0
2019-01-05,504,1900-01-01 15:58:00,Saturday,Iking and Atlantic,Mechanical,6.0,12.0,E/B,4481.0
2019-01-05,505,1900-01-01 16:10:00,Saturday,Dundas West Station,Mechanical,4.0,8.0,W/B,8336.0
2019-01-05,505,1900-01-01 16:16:00,Saturday,Rusholme and Dundas,Mechanical,4.0,8.0,E/B,8130.0
2019-01-05,504,1900-01-01 16:38:00,Saturday,Roncesvalles and Fermanah,Investigation,13.0,19.0,N/B,4509.0
2019-01-05,501,1900-01-01 17:06:00,Saturday,Lakeshore and Islington,Investigation,13.0,23.0,E/B,4065.0
2019-01-05,501,1900-01-01 19:12:00,Saturday,Queen and Broadview,Held By,5.0,10.0,B/W,4024.0
2019-01-05,504,1900-01-01 19:13:00,Saturday,Queen and Broadview,Investigation,4.0,10.0,S/B,4487.0
2019-01-05,501,1900-01-01 23:13:00,Saturday,Lakeshore and 3rd,Mechanical,9.0,18.0,W/B,4114.0
2019-01-05,501,1900-01-01 23:18:00,Saturday,Queen and Mccaul,Emergency Services,9.0,18.0,W/B,4179.0
2019-01-05,505,1900-01-01 23:32:00,Saturday,Yonge and Dundas,Emergency Services,27.0,36.0,W/B,8955.0
2019-01-05,506,1900-01-01 23:35:00,Saturday,Dundas and Howard Park,Emergency Services,20.0,30.0,W/B,4032.0
2019-01-06,301,1900-01-01 01:12:00,Sunday,queen and connaught,Mechanical,9.0,18.0,E/B,4066.0
2019-01-06,501,1900-01-01 01:34:00,Sunday,Leslie Barns,Mechanical,8.0,8.0,E/B,4403.0
2019-01-06,504,1900-01-01 07:05:00,Sunday,King and Jameseon,Mechanical,1.0,1.0,E/B,4450.0
2019-01-06,505,1900-01-01 07:30:00,Sunday,Broadview Station,Mechanical,10.0,20.0,W/B,8336.0
2019-01-06,505,1900-01-01 08:55:00,Sunday,DWS,Late Leaving Garage,10.0,20.0,E/B,1376.0
2019-01-06,512,1900-01-01 09:10:00,Sunday,Bathurst and St.Clair,Investigation,6.0,12.0,N/B,4435.0
2019-01-06,501,1900-01-01 09:46:00,Sunday,Queen Street West  Shaw,Investigation,8.0,16.0,E/B,4101.0
2019-01-06,512,1900-01-01 11:03:00,Sunday,St.Clair and Oakwood,Mechanical,6.0,12.0,E/B,4448.0
2019-01-06,511,1900-01-01 11:36:00,Sunday,Mount Dennis Garage,Mechanical,6.0,6.0,S/B,1006.0
2019-01-06,511,1900-01-01 11:53:00,Sunday,Mount Dennis,Mechanical,4.0,8.0,S/B,1348.0
2019-01-06,501,1900-01-01 12:09:00,Sunday,Leslie Barns,Late Leaving Garage,7.0,9.0,E/B,4430.0
2019-01-06,512,1900-01-01 13:50:00,Sunday,St. Clair and Silverthorn,Emergency Services,21.0,27.0,W/B,4473.0
2019-01-06,501,1900-01-01 14:05:00,Sunday,Coxwell and Queen,Mechanical,4.0,8.0,W/B,4032.0
2019-01-06,501,1900-01-01 14:26:00,Sunday,Sackville and Queen,Mechanical,4.0,8.0,E/B,501.0
2019-01-06,501,1900-01-01 14:39:00,Sunday,Elmer and Queen,Held By,352.0,256.0,W/B,4114.0
2019-01-06,605,1900-01-01 15:18:00,Sunday,Neville Loop,Mechanical,5.0,10.0,W/B,8510.0
2019-01-06,505,1900-01-01 17:09:00,Sunday,dundas/brock,Investigation,5.0,10.0,E/B,8603.0
2019-01-06,512,1900-01-01 18:05:00,Sunday,Oakwood Loop,Mechanical,6.0,12.0,E/B,4415.0
2019-01-06,505,1900-01-01 22:19:00,Sunday,Montrose and Dundas,Investigation,10.0,20.0,W/B,8401.0
2019-01-06,512,1900-01-01 23:15:00,Sunday,Lansdowne,Investigation,10.0,20.0,E/B,4429.0
2019-01-06,505,1900-01-01 23:39:00,Sunday,Yonge and Dundas,Mechanical,9.0,18.0,W/B,8351.0
2019-01-06,510,1900-01-01 23:57:00,Sunday,Queensquey and bay,Mechanical,7.0,14.0,E/B,4492.0
2019-01-07,512,1900-01-01 04:23:00,Monday,Roncesvalles Yard,Late Leaving Garage,1.0,1.0,E/B,4473.0
2019-01-07,506,1900-01-01 05:11:00,Monday,Russell Yard,Held By,5.0,10.0,,4125.0
2019-01-07,506,1900-01-01 05:12:00,Monday,Russell Yard,Held By,8.0,14.0,,4143.0
2019-01-07,504,1900-01-01 05:42:00,Monday,Leslie Barns,Late Leaving Garage,2.0,1.0,W/B,4427.0
2019-01-07,504,1900-01-01 05:49:00,Monday,King and Bathurst,Mechanical,1.0,1.0,W/B,4442.0
2019-01-07,509,1900-01-01 05:54:00,Monday,CNE LOOP,Mechanical,1.0,1.0,E/B,4498.0
2019-01-07,501,1900-01-01 06:07:00,Monday,Russell Yard,Mechanical,7.0,10.0,,4198.0
2019-01-07,501,1900-01-01 06:09:00,Monday,Queen & Yonge,Mechanical,4.0,9.0,W/B,4483.0
2019-01-07,504,1900-01-01 06:16:00,Monday,King and Bathurst,Mechanical,1.0,1.0,W/B,4515.0
2019-01-07,510,1900-01-01 06:24:00,Monday,King Street,Mechanical,8.0,12.0,N/B,4403.0
2019-01-07,501,1900-01-01 06:32:00,Monday,Russell Yard,Mechanical,3.0,7.0,,4141.0
2019-01-07,512,1900-01-01 06:37:00,Monday,St.Clair and Bathurst,Mechanical,1.0,1.0,W/B,4434.0
2019-01-07,504,1900-01-01 07:05:00,Monday,Roncesvalles and Queen,Mechanical,5.0,10.0,E/B,4454.0
2019-01-07,504,1900-01-01 07:24:00,Monday,Broadview Station,Mechanical,1.0,1.0,E/B,4516.0
2019-01-07,501,1900-01-01 07:28:00,Monday,Queen & Augusta,Mechanical,0.0,0.0,W/B,4477.0
2019-01-07,512,1900-01-01 07:31:00,Monday,St.Clair and Keele,Mechanical,4.0,8.0,E/B,4438.0
2019-01-07,501,1900-01-01 07:34:00,Monday,Queensway & Ellis,Mechanical,0.0,0.0,W/B,4424.0
2019-01-07,501,1900-01-01 07:38:00,Monday,Queen & Sumach,Mechanical,5.0,9.0,W/B,4127.0
2019-01-07,501,1900-01-01 07:49:00,Monday,Queen & Connaught,Mechanical,6.0,12.0,W/B,4124.0
2019-01-07,504,1900-01-01 07:54:00,Monday,King/Atlantic,Mechanical,0.0,0.0,E/B,4495.0
2019-01-07,510,1900-01-01 07:57:00,Monday,King Street,Mechanical,0.0,0.0,S/B,4403.0
2019-01-07,504,1900-01-01 07:58:00,Monday,king and Spadina,Mechanical,1.0,1.0,W/B,4454.0
2019-01-07,504,1900-01-01 08:20:00,Monday,King/Close,Mechanical,0.0,0.0,E/B,4490.0
2019-01-07,512,1900-01-01 08:25:00,Monday,St. Clair Stn,Mechanical,1.0,1.0,E/B,4410.0
2019-01-07,504,1900-01-01 08:31:00,Monday,King and Queen,Mechanical,1.0,1.0,E/B,4515.0
2019-01-07,511,1900-01-01 08:34:00,Monday,Bathurst station,Held By,6.0,9.0,S/B,1100.0
2019-01-07,509,1900-01-01 08:56:00,Monday,CNE Loop,Mechanical,9.0,18.0,E/B,4467.0
2019-01-07,509,1900-01-01 09:35:00,Monday,CNE Loop,Mechanical,1.0,1.0,E/B,467.0
2019-01-07,505,1900-01-01 10:47:00,Monday,Bathurst Street,Mechanical,4.0,8.0,E/B,8388.0
2019-01-07,501,1900-01-01 11:45:00,Monday,Queen & Pape,Mechanical,28.0,33.0,E/B,4149.0
2019-01-07,512,1900-01-01 12:08:00,Monday,St. Clair and Oakwood,Mechanical,1.0,1.0,E/B,4470.0
2019-01-07,512,1900-01-01 12:45:00,Monday,St. Clair and Northcliffe,Mechanical,1.0,1.0,E/B,4410.0
2019-01-07,506,1900-01-01 13:08:00,Monday,highpark loop,Mechanical,13.0,18.0,E/B,4114.0
2019-01-07,501,1900-01-01 13:20:00,Monday,Queen/Bay st.,General Delay,10.0,14.0,B/W,4123.0
2019-01-07,505,1900-01-01 13:54:00,Monday,Gladstone and Dundas,Investigation,4.0,8.0,W/B,1215.0
2019-01-07,510,1900-01-01 14:18:00,Monday,Dundas and Spadina,Mechanical,8.0,16.0,S/B,4403.0
2019-01-07,511,1900-01-01 14:50:00,Monday,bathurst/dundas,Investigation,4.0,8.0,S/B,1058.0
2019-01-07,510,1900-01-01 15:07:00,Monday,Russell street and Spadina Circle,Held By,13.0,21.0,N/B,4403.0
2019-01-07,512,1900-01-01 15:20:00,Monday,St. Clair and Northcliff,Mechanical,1.0,1.0,E/B,4434.0
2019-01-07,501,1900-01-01 15:26:00,Monday,Queen/ McCaul,Mechanical,4.0,8.0,B/W,4420.0
2019-01-07,504,1900-01-01 15:27:00,Monday,Queen St E and Leslie St,Late Leaving Garage,4.0,8.0,W/B,4495.0
2019-01-07,504,1900-01-01 15:33:00,Monday,Queen St E and Leslie St,Late Leaving Garage,4.0,8.0,W/B,4493.0
2019-01-07,501,1900-01-01 15:43:00,Monday,QUEEN/CANNAUGHT,Mechanical,4.0,8.0,W/B,4067.0
2019-01-07,501,1900-01-01 15:59:00,Monday,QUEEN/ LANSDOWNE,Investigation,36.0,44.0,E/B,4198.0
2019-01-07,504,1900-01-01 16:14:00,Monday,Disillery Loop,Mechanical,6.0,12.0,W/B,4416.0
2019-01-07,501,1900-01-01 16:42:00,Monday,Queen and Connaught,Mechanical,4.0,8.0,W/B,4204.0
2019-01-07,501,1900-01-01 16:42:00,Monday,Queen/Shaw,Mechanical,5.0,10.0,W/B,4050.0
2019-01-07,501,1900-01-01 17:01:00,Monday,Queen and Connaught,Late Leaving Garage,4.0,8.0,W/B,4229.0
2019-01-07,501,1900-01-01 17:03:00,Monday,Queen/Broadview,Mechanical,3.0,6.0,W/B,4230.0
2019-01-07,501,1900-01-01 17:39:00,Monday,Queen/Dowling,Investigation,94.0,102.0,E/B,4029.0
2019-01-07,501,1900-01-01 18:32:00,Monday,Queen/Broadview,Emergency Services,8.0,12.0,B/W,4496.0
2019-01-07,504,1900-01-01 19:21:00,Monday,Carrol and Queen,Mechanical,5.0,10.0,E/B,4515.0
2019-01-07,501,1900-01-01 19:23:00,Monday,Queen/River,General Delay,10.0,14.0,E/B,4081.0
